Red,Nombre de la IPRESS,Código RENIPRESS,Provincia,Distrito
Red Cusco Norte,MOLLEPATA,00002338,ANTA,MOLLEPATA
Red Cusco Norte,LAMAY,00002344,CALCA,LAMAY
Red Cusco Norte,COLCCA YANATILE,00002357,CALCA,YANATILE
Red CCE,CHAUPIBANDA,00034449,CANAS,QUEHUE
Red CCE,TECHO OBRERO,00002380,CANCHIS,SICUANI
Red CCE,UZCUPATA,00002382,CANCHIS,SICUANI
Red CCE,TINTA,00002397,CANCHIS,TINTA
Red Chumbivilcas,ALHUACCHULLO,00002400,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,MENTAL COMUNITARIO SANTO TOMAS,00037347,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,PULPERA,00002399,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,PFULLPURI CONDEPAMPA,00008915,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,SANTA ISABEL JALCCO,00035862,CHUMBIVILCAS,LIVITACA
Red CCE,CONDOROMA,00002411,ESPINAR,CONDOROMA
Red La Convencion,PAVAYOC,00015842,LA CONVENCION,SANTA ANA
Red La Convencion,IVOCHOTE,00002431,LA CONVENCION,ECHARATE
Red Cusco Norte,PUENTE SANTIAGO,00002467,LA CONVENCION,QUELLOUNO
Red Cusco VRAEM,ANGELES,00008285,LA CONVENCION,KIMBIRI
Red La Convencion,TOTORA,00002478,LA CONVENCION,SANTA TERESA
Red La Convencion,PALTAYBAMBA,00002492,LA CONVENCION,VILCABAMBA
Red Cusco VRAEM,OTARI,00002497,LA CONVENCION,PICHARI
Red Cusco VRAEM,PICHARI BAJA,00015170,LA CONVENCION,PICHARI
Red Cusco Sur,CCAPI,00002501,PARURO,CCAPI
Red Cusco Norte,MACHUPICCHU,00002546,URUBAMBA,MACHUPICCHU
Red La Convencion,PUERTO HUALLANA,00002441,LA CONVENCION,MEGANTONI
