Red,Nombre de la IPRESS,Código RENIPRESS,Provincia,Distrito
Red CCE,PALLPATA,00002416,ESPINAR,PALLPATA
Hospital,QUILLABAMBA,00002421,LA CONVENCION,SANTA ANA
Red La Convencion,TRIO RIO,00013068,LA CONVENCION,ECHARATE
Red La Convencion,SANIRIATO,00002443,LA CONVENCION,ECHARATE
Red La Convencion,ICHIQUIATO,00002449,LA CONVENCION,ECHARATE
Red La Convencion,UCHUMAYO,00002461,LA CONVENCION,MARANURA
Red Cusco VRAEM,QUISTO CENTRAL,00007114,LA CONVENCION,PICHARI
Red Cusco VRAEM,VILLA VIRGEN,00002479,LA CONVENCION,VILLA VIRGEN
Red Cusco Sur,PARURO,00002499,PARURO,PARURO
Red Cusco Sur,VIZCOCHONI,00002518,PAUCARTAMBO,COLQUEPATA
Red Cusco Sur,CCATCCA,00002528,QUISPICANCHI,CCATCA
Red Cusco Sur,KCAURY,00002529,QUISPICANCHI,CCATCA
Red Cusco Norte,YANAHUARA,00002541,URUBAMBA,URUBAMBA
Red Cusco Norte,CAMINO INCA HUAYLLABAMBA,00006974,URUBAMBA,MACHUPICCHU
Red Cusco Norte,MENTAL COMUNITARIO CUSCO,00034419,CUSCO,CUSCO
Hospital,HOSPITAL DE APOYO DEPARTAMENTAL CUSCO,00002289,CUSCO,CUSCO
Red Cusco Sur,SAN SEBASTIAN,00002301,CUSCO,SAN SEBASTIAN
Red Cusco Norte,PANTIPATA,00006972,ANTA,CHINCHAYPUJIO
Red Cusco Norte,CHOQUECANCHA,00002346,CALCA,LARES
Red Cusco Norte,BELLAVISTA,00006973,CALCA,YANATILE
Red Cusco Norte,COMBAPATA YANATILE,00006971,CALCA,YANATILE
Red CCE,CCUYO,00002390,CANCHIS,MARANGANI
Red Chumbivilcas,CHILLOROYA - LIVITACA,00016325,CHUMBIVILCAS,LIVITACA
Red CCE,SAN MIGUEL,00002418,ESPINAR,PICHIGUA
Red La Convencion,PALMA REAL,00002439,LA CONVENCION,ECHARATE
Red Cusco VRAEM,NUEVO PROGRESO,00032211,LA CONVENCION,PICHARI
Red La Convencion,CCARCCO,00002481,LA CONVENCION,INKAWASI
Red Cusco Sur,ACCHA,00002500,PARURO,ACCHA
Red Cusco Sur,CHICHINA,00012931,QUISPICANCHI,CCATCA
Red Cusco Sur,CHILLIHUANI,00006980,QUISPICANCHI,CUSIPATA
Red Cusco Sur,MENTAL COMUNITARIO HUARO,00030708,QUISPICANCHI,HUARO
Red Cusco Sur,LUCRE,00002534,QUISPICANCHI,LUCRE
Red Cusco Norte,MENTAL COMUNITARIO URUBAMBA,00030666,URUBAMBA,URUBAMBA
Red Cusco VRAEM,MANTARO,00002495,LA CONVENCION,UNIÓN ASHANINKA
Red La Convencion,CASHIRIARI,00015843,LA CONVENCION,MEGANTONI
Red Cusco Norte,ZARZUELA ALTA,00002308,CUSCO,SANTIAGO
Red Cusco Sur,PUESTO DE SALUD SANGARARA,00002324,ACOMAYO,SANGARARA
Red Cusco Norte,CHACAN,00002327,ANTA,ANTA
Red Cusco Norte,AMPARAES,00002342,CALCA,LARES
Red CCE,SURIMANA,00002375,CANAS,TUPAC AMARU
Red CCE,SAN PEDRO CANCHIS,00002396,CANCHIS,SAN PEDRO
Red Chumbivilcas,CANGALLE,00035864,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,CCOYO,00006981,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,TINCURCA,00035863,CHUMBIVILCAS,CHAMACA
Red Chumbivilcas,CCACHO,00035861,CHUMBIVILCAS,CHAMACA
Red Chumbivilcas,TOTORA - REYNA DE LOS ANGELES,00025740,CHUMBIVILCAS,LIVITACA
Red La Convencion,POTRERO,00002424,LA CONVENCION,SANTA ANA
Red La Convencion,SAN ISIDRO LABRADOR - ECHARATI,00033273,LA CONVENCION,ECHARATE
Red La Convencion,KEPASHIATO,00002432,LA CONVENCION,ECHARATE
Red La Convencion,HUAYOPATA,00002455,LA CONVENCION,HUAYOPATA
Red La Convencion,ESTRELLA,00008906,LA CONVENCION,QUELLOUNO
Red Cusco Sur,HUARO,00002532,QUISPICANCHI,HUARO
Red Cusco Sur,QUIQUIJANA,00002538,QUISPICANCHI,QUIQUIJANA
Red Cusco Norte,CHINCHERO,00002543,URUBAMBA,CHINCHERO
Red La Convencion,KAMISEA,00002448,LA CONVENCION,MEGANTONI
Red La Convencion,CAMANA,00015844,LA CONVENCION,MEGANTONI
Red Cusco Norte,INDEPENDENCIA,00002292,CUSCO,CUSCO
Red Cusco Norte,PATRON SANTIAGO,00030730,CUSCO,WANCHAQ
Red Cusco Sur,RONDOCAN,00002323,ACOMAYO,RONDOCAN
Red Cusco Norte,CONCHACALLA,00002329,ANTA,ANTA
Red Cusco Norte,LIMATAMBO,00002336,ANTA,LIMATAMBO
Red Cusco Norte,URATARI,00010761,ANTA,LIMATAMBO
Red Cusco Norte,POQUES,00007146,CALCA,LAMAY
Red Cusco Norte,CCACHIN,00002345,CALCA,LARES
Red Cusco Norte,CUYO CHICO,00002349,CALCA,PISAC
Red Cusco Norte,TARAY,00002353,CALCA,TARAY
Red Cusco Norte,CCORIMAYO,00002356,CALCA,YANATILE
Red La Convencion,TUPAC AMARU QUELLOUNO,00002363,CALCA,YANATILE
Red CCE,COMBAPATA CANCHIS,00002386,CANCHIS,COMBAPATA
Red CCE,MARANGANI,00002388,CANCHIS,MARANGANI
Red CCE,CHECTUYOC,00002389,CANCHIS,MARANGANI
Red Chumbivilcas,ORCCOMA,00006983,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,COLQUEMARCA,00002404,CHUMBIVILCAS,COLQUEMARCA
Red CCE,TINTAYA MARQUIRI,00006745,ESPINAR,ESPINAR
Red CCE,YAURI,00002410,ESPINAR,ESPINAR
Red La Convencion,HUAYANAY,00002422,LA CONVENCION,SANTA ANA
Red La Convencion,MATERIATO,00002434,LA CONVENCION,ECHARATE
